month_end,usdgbp,gbpusd,usdeur,eurusd,zarusd,usdzar,zargbp,gbpzar,eurzar,audzar,usdaud,audusd
2018-01-31,0.7042,1.41992,0.80524,1.24174,0.08426,11.8384,0.059335892,16.80958092,14.70021481,9.53819888,1.241156,0.8057
2018-02-28,0.72705,1.3752,0.82026,1.219,0.0847,11.776,0.061581135,16.1943552,14.354944,9.1405312,1.288327,0.7762
2018-03-31,0.71342,1.4015,0.8109,1.2329,0.08441,11.8168,0.0602197822,16.5612452,14.56893272,9.06821232,1.303101,0.7674
2018-04-30,0.7261,1.377,0.82773,1.2079,0.08025,12.44297,0.058269525,17.13396969,15.02986346,9.372169433,1.32765,0.75321
2018-05-31,0.75248,1.32883,0.8552,1.16927,0.07868,12.70072,0.0592051264,16.87709775,14.85057087,9.60352242,1.322506,0.75614
2018-06-30,0.757,1.3208,0.85434,1.1702,0.07276,13.7141,0.05507932,18.11358328,16.04823982,10.14980541,1.351168,0.7401
2018-07-31,0.7621,1.31184,0.85546,1.1689,0.075398,13.2329,0.0574608158,17.35944753,15.46793681,9.817356181,1.347908,0.74189
2018-08-31,0.77149,1.296,0.86036,1.162,0.068016,14.6725,0.05247366384,19.01556,17.049445,10.552462,1.390433,0.7192
2018-09-30,0.76693,1.30374,0.86167,1.16044,0.070763,14.1016,0.05427026759,18.38481998,16.3640607,10.18600872,1.384408,0.72233
2018-10-31,0.78312,1.27686,0.88365,1.13162,0.067636,14.755,0.05296710432,18.8400693,16.6970531,10.45022875,1.41193,0.70825
2018-11-30,0.78351,1.2761,0.88347,1.1316,0.072025,13.8541,0.05643230775,17.67921701,15.67729956,10.13288874,1.36724,0.7314
2018-12-31,0.78505,1.2736,0.87009,1.149,0.067491,14.1258,0.0548075,18.3172,16.46582,10.1199,1.4206,0.7038
2019-01-31,0.76281,1.31083,0.8734,1.1448,0.075308,13.2488,0.057525,17.38863,15.18427,9.64455,1.37525,0.72713
2019-02-28,0.75387,1.3264,0.87924,1.13727,0.070976,14.0592,0.053565,18.67017,16.00693,9.99535,1.4079,0.71022
2019-03-31,0.76788,1.30214,0.89096,1.1223,0.069652,14.3271,0.053546,18.67754,16.09756,10.203,1.4059,0.71122
2019-04-30,0.76688,1.3038,0.89158,1.1214,0.069837,14.2891,0.053615,18.65297,16.04482,10.087,1.41837,0.70489
2019-05-31,0.7912,1.2637,0.89286,1.1197,0.068495,14.5696,0.054456,18.42092,16.27285,10.1075,1.4405,0.694
2019-06-30,0.78774,1.26931,0.8799,1.136,0.070987,14.0704,0.055935,17.8785,16.0012,9.889,1.4239,0.7022
2019-07-31,0.82279,1.21525,0.9032,1.107,0.069635,14.3306,0.05736,17.43361,15.8821,9.82295,1.4603,0.6846
2019-08-31,0.82244,1.2157,0.9081,1.1009,0.065855,15.16979,0.05427,18.48625,16.688,10.2305,1.4841,0.6736
2019-09-30,0.81367,1.2289,0.91746,1.08988,0.065976,15.13698,0.053737,18.6142,16.50687,10.2245,1.48125,0.6749
2019-10-31,0.77282,1.29385,0.89629,1.11566,0.0661227,15.0934,0.051155,19.54736,16.85465,10.41269,1.450852,0.68921
2019-11-30,0.773455,1.29102,0.9075151,1.10196,0.0681984,14.64211,0.0527725,18.96804,16.15902,9.908987,1.478197,0.6758
2019-12-31,0.754,1.326,0.8912,1.122,0.07129871,13.9959,0.0538695,18.56397,15.69816,9.82546,1.425314,0.7013
2020-01-31,0.7574036,1.32052,0.9012175,1.10949,0.06625061,14.98745,0.050464,19.81654,16.64997,10.03639,1.494106,0.66826
2020-02-29,0.7798487,1.2818,0.9067745,1.1027,0.06381825,15.6645,0.049794,20.08189,17.27404,10.19885,1.53219,0.64919
2020-03-31,0.8059,1.24054,0.9069,1.10257,0.05572366,17.7423,0.0451855,22.12813,19.66576,10.94445,1.629514,0.61366
2020-04-30,0.79482,1.25801,0.91362,1.09448,0.05382798,18.53447,0.042845,23.34082,20.30579,12.0506,1.540105,0.64952
2020-05-31,0.8098477,1.2345,0.8994,1.1115,0.05683917,17.5635,0.0460635,21.71036,19.54806,11.70935,1.50165,0.66589
2020-06-30,0.80715,1.2386,0.89,1.12335,0.05763549,17.34192,0.046536,21.48706,19.48608,11.96804,1.449276,0.6898
2020-07-31,0.7641054,1.30803,0.8488244,1.17719,0.05837371,17.05389,0.04477,22.33676,20.1059,12.19374,1.399805,0.71377
2020-08-31,0.74825,1.33635,0.83759,1.1937,0.058977,16.94722,0.044147,22.65403,20.23776,12.50675,1.355197,0.7377
2020-09-30,0.77414,1.2916,0.8528,1.17237,0.05966302,16.7308,0.0462365,21.62846,19.63033,11.99898,1.39545,0.71657
2020-10-31,0.7724394,1.2948,0.8562377,1.16765,0.06154192,16.24905,0.047546,21.04544,18.9265,11.41937,1.422678,0.7029
2020-11-30,0.7498,1.3335,0.83765,1.19373,0.06474671,15.4363,0.0485635,20.59292,18.4332,11.35975,1.359324,0.73564
2020-12-31,0.7313684,1.3657,0.821,1.1984,0.06736683,14.4812,0.0497955,20.07953,17.9459,11.30416,1.298849,0.76375
2021-01-31,0.73005,1.3697,0.82482,1.2123,0.065821,15.173,0.048064,20.80588,18.41587,11.57448,1.31242,0.76191
2021-02-28,0.71569,1.39708,0.82716,1.20885,0.06639828,15.03948,0.047557,21.02722,18.19306,11.66915,1.289985,0.77516
2021-03-31,0.72536,1.37843,0.8526,1.17263,0.06761325,14.7792,0.049049,20.3828,17.33961,11.23245,1.316881,0.75937
2021-04-30,0.7236937,1.381,0.8318775,1.20167,0.06893557,14.49195,0.0499305,20.02635,17.42364,11.18358,1.29584,0.7702
2021-05-31,0.7029,1.4226,0.81747,1.22322,0.072852,13.7073,0.051221,19.52325,16.78756,10.62675,1.291656,0.77433
2021-06-30,0.72311,1.3827,0.8434,1.18557,0.069886,14.2315,0.0506515,19.7431,16.92346,10.70286,1.33368,0.7497
2021-07-31,0.7189073,1.3902,0.8426304,1.1869,0.06857161,14.44441,0.049248,20.30352,17.335,10.72892,1.36147,0.73376
2021-08-31,0.7270929,1.37517,0.84672,1.1809,0.06868873,14.48843,0.0500585,19.97424,17.1527,10.62962,1.3663,0.73178
2021-09-30,0.7424,1.3467,0.86397,1.1574,0.06621771,15.0717,0.049217,20.31834,17.46052,10.90512,1.383126,0.7227
2021-10-31,0.73083,1.36831,0.86519,1.15581,0.065673,15.22695,0.047998,20.83415,17.59946,11.44488,1.33043,0.751645
2021-11-30,0.75195,1.32969,0.8825,1.133205,0.06290342,15.8965,0.0473005,21.14154,18.01528,11.3292,1.403312,0.7126
2021-12-31,0.739649,1.352315,0.879395,1.137395,0.06270419,15.95104,0.04636,21.5702,18.1515,11.61505,1.37665,0.72645
2022-01-31,0.74373,1.3446,0.89051,1.122965,0.06502,15.37921,0.0483565,20.67982,17.28045,10.87169,1.414827,0.7068
2022-02-28,0.74504,1.342255,0.89162,1.12165,0.06503374,15.3768,0.0484445,20.64268,17.2483,11.16414,1.377411,0.7262
2022-03-31,0.76066,1.314645,0.90318,1.10719,0.06844447,14.6108,0.0520625,19.20762,16.17682,10.94555,1.33483,0.74923
2022-04-30,0.7953235,1.25745,0.94835,1.05437,0.06368186,15.76103,0.050296,19.88263,16.67175,11.16739,1.415049,0.70612
2022-05-31,0.79306,1.26094,0.93164,1.073385,0.06405916,15.61073,0.0507425,19.70757,16.77739,11.22613,1.39232,0.7182
2022-06-30,0.8222,1.216,0.95434,1.04785,0.06138485,16.29009,0.05048,19.81289,17.06955,11.23652,1.449811,0.689975
2022-07-31,0.821885,1.216705,0.97975,1.02085,0.06011979,16.6321,0.0494265,20.23167,16.97289,11.59417,1.43454,0.6972
2022-08-31,0.86223,1.15978,0.996145,1.00388,0.05834259,17.14055,0.0502995,19.88098,17.20662,11.70363,1.464525,0.682815
2022-09-30,0.896861,1.11687,1.01991,0.9802,0.05525045,18.09104,0.0495025,20.21111,17.74051,11.58052,1.561524,0.6399
2022-10-31,0.87195,1.14685,1.011465,0.98867,0.05450813,18.3458,0.0475275,21.04058,18.1383,11.75765,1.560501,0.64088
2022-11-30,0.827865,1.207925,0.95935,1.042505,0.05832569,17.14525,0.048225,20.73607,17.89585,11.6734,1.470365,0.680105
2022-12-31,0.8265829,1.2101,0.93225,1.07265,0.0587441,17.02291,0.048557,20.59364,18.22198,11.60388,1.4695,0.6805
2023-01-31,0.812375,1.230955,0.92072,1.08605,0.05721393,17.4785,0.046635,21.43935,18.91636,12.28014,1.4184,0.704955
2023-02-28,0.831075,1.20327,0.94546,1.057685,0.05451556,18.3432,0.045317,22.0672,19.39698,12.3427,1.486105,0.6729
2023-03-31,0.8101102,1.2345,0.9199,1.08705,0.05619907,17.79386,0.0455805,21.94158,19.29132,11.89505,1.49525,0.6688
2023-04-30,0.796325,1.255705,0.90822,1.101055,0.0546556,18.296,0.043527,22.97476,20.14545,12.09764,1.51239,0.661205
2023-05-31,0.8034,1.2445,0.93515,1.06932,0.05068118,19.7312,0.040722,24.55668,21.09748,12.83661,1.537019,0.6507
2023-06-30,0.7886256,1.264275,0.91605,1.09215,0.05305992,18.83576,0.041787,23.94178,20.57387,12.56545,1.50085,0.66626
2023-07-31,0.7792,1.283365,0.909315,1.09973,0.0559441,17.875,0.043595,22.93842,19.65622,12.00625,1.488865,0.67165
